Title,Company,Reward,Link
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/233000
Backend Engineer (Java/Kotlin) - Senior,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/199109
Kotlin/Java 개발자,크림(KREAM),합격보상금 100만원,https://www.wanted.co.kr/wd/236465
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/233753
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr/wd/205880
서버 엔지니어 (Kotlin/Spring),페이히어,합격보상금 100만원,https://www.wanted.co.kr/wd/230925
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/229118
Backend Kotlin Developer [5~12년],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr/wd/197273
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/233000
Backend Engineer (Java/Kotlin) - Senior,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/199109
Kotlin/Java 개발자,크림(KREAM),합격보상금 100만원,https://www.wanted.co.kr/wd/236465
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/233753
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr/wd/205880
서버 엔지니어 (Kotlin/Spring),페이히어,합격보상금 100만원,https://www.wanted.co.kr/wd/230925
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/229118
Backend Kotlin Developer [5~12년],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr/wd/197273
안드로이드 개발자 (Kotlin),블록체인랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/233609
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),합격보상금 100만원,https://www.wanted.co.kr/wd/100640
